CreditScoreCategory,Industry,Region,ContractType,CollateralValue,LGD,PctChangeRevenue,PctChangeNetProfit,DebtToEquity,InterestCoverage,EquipmentAge,LeaseToValue,MaintenanceScore,OperatingMargin
Medium,Energy,South,Loan,33203.55,0.6712,35.94,33.11,1.94,3.33,2.3,0.55,78.6,0.161
Medium,Manufacturing,West,Loan,30553.74,0.7428,-9.75,-57.73,1.7,1.88,2.6,0.7,83.3,0.0904
Medium,Energy,East,Lease,38443.46,0.691,15.61,-0.66,1.44,1.15,6.3,0.62,60.5,0.1187
Medium,Construction,East,Lease,40586.59,0.6964,-13.1,-3.22,1.67,2.95,3.3,0.61,86.1,0.0413
High,Construction,North,Lease,27053.98,0.6647,20.55,17.08,1.41,4.53,3.9,0.61,59.6,0.0874
High,Mining,North,Lease,33122.88,0.6698,-4.93,-4.08,1.96,4.48,2.5,0.72,77.8,0.0509
Medium,Transportation,South,Loan,51138.58,0.5797,28.96,30.17,0.79,4.38,5,0.74,67.9,0.1843
Medium,Mining,West,Lease,79844.35,0.528,-5.55,42.56,1.4,4.51,4.5,0.71,47.5,0.0858
Low,Energy,South,Lease,65114.72,0.6127,-17.95,32.59,1.29,3.28,5.9,0.77,96.4,0.0966
Low,Manufacturing,East,Loan,52407.8,0.6968,-6.69,-20.3,1.65,2.18,5.7,0.7,61.6,0.0464
High,Mining,South,Loan,66925.13,0.5252,-4.46,59.84,0.94,2.61,1.1,0.71,59,0.0234
Medium,Transportation,South,Loan,67331.95,0.6389,4.73,-32.87,2.25,2.82,5.7,0.61,64.3,0.0565
Low,Mining,East,Lease,45425.3,0.6781,-6.58,23.2,1.13,2.01,4.8,0.75,63.6,0.057
Low,Construction,East,Lease,53868.44,0.662,4.91,36.34,2.03,3.89,7.5,0.69,73.1,0.0558
Medium,Energy,East,Lease,64668.47,0.5723,5.26,64.23,1.8,2.08,3.4,0.76,62.9,0.0547
Low,Energy,East,Lease,66717.09,0.6304,-8.55,32.07,1.61,0.23,6.1,0.69,62.2,0.1371
Low,Energy,North,Lease,66861.09,0.6298,6.57,-20.89,1.62,4.59,5.2,0.7,77.2,0.077
Medium,Energy,West,Lease,34594.84,0.6618,-11.72,29.39,0.57,3.77,3.3,0.62,70.1,0.1291
Medium,Energy,West,Loan,67625.77,0.5914,40,-2.16,1.25,0.41,7.1,0.68,77,0.0762
Medium,Energy,East,Lease,77871.15,0.5599,5.98,34.97,3.13,2.03,5.8,0.9,65.7,0.1121
Low,Manufacturing,West,Loan,72401.42,0.6152,12.25,7.68,1.61,2.86,4.3,0.51,74.5,0.1334
Medium,Transportation,West,Loan,33717.17,0.6829,-3.91,44.76,1.71,3,3.3,0.65,47.2,0.0641
Low,Energy,West,Loan,29945.36,0.6986,-14.41,2.75,0.54,6.16,7.3,0.78,86.4,0.1616
Medium,Transportation,West,Lease,56978.39,0.6178,16.72,30.09,1.38,1.56,6.7,0.63,63.8,0.103
Medium,Energy,East,Lease,72122.51,0.5938,6.6,-16.63,1.32,1.47,5,0.71,66.7,0.0406
Medium,Mining,South,Loan,53392.52,0.6304,-52.27,37.4,1.13,4.91,5,0.69,78.2,0.0675
High,Energy,South,Lease,46475.33,0.6334,38.51,-62.5,1.79,2.73,2.8,0.79,73.7,0.0821
Medium,Construction,South,Lease,48647.17,0.6296,14.76,23.09,1.29,4.76,7.7,0.68,79.5,0.0768
Medium,Manufacturing,North,Loan,65307.38,0.6149,-7.62,12.96,1.14,2.6,2.8,0.54,90.5,-0.0216
Low,Mining,West,Lease,45175.89,0.6509,12.11,6.47,0.76,4.83,6.8,0.87,66.3,0.0427
Medium,Mining,East,Lease,57214.32,0.6509,8.43,-63.08,0.95,2.58,9,0.69,69.4,0.1333
Low,Construction,East,Lease,48044.55,0.6697,9.91,-12.88,1.01,2.81,3.5,0.72,100,0.0885
Low,Energy,North,Lease,36674.93,0.7109,-17.41,38.08,1.33,1.44,4,0.65,62.9,0.1135
High,Manufacturing,East,Loan,35499.63,0.6461,1.42,-23.31,1.25,5.59,3.4,0.72,59.9,0.1114
Medium,Mining,South,Loan,57879.64,0.6372,6.04,-42.07,1.19,1.87,7.5,0.8,81.9,0.0879
High,Manufacturing,North,Lease,10000,0.7372,24.64,-30.29,0.66,1.08,5.3,0.69,84.1,0.0624
Medium,Mining,East,Lease,57188.94,0.5856,2.05,37.66,1,5.43,2,0.62,82.7,0.0703
Medium,Energy,North,Lease,47440.7,0.645,8.62,15.73,1.56,3.99,2.8,0.57,60.1,0.1076
Medium,Mining,North,Loan,64191.25,0.5901,-18.21,44.64,2.23,5.38,6.3,0.82,67.9,0.0453
Medium,Mining,East,Lease,59021.96,0.627,1.35,22.86,2.3,1.93,3.5,0.66,69.9,0.1198
Medium,Transportation,South,Lease,50669.31,0.6417,17.34,-24.06,2.5,3.91,1.5,0.76,65.6,0.1694
Low,Energy,East,Loan,33989.53,0.7019,-13.68,56.75,1.63,5.1,6.1,0.77,72.5,-0.013
Medium,Construction,West,Lease,34801.46,0.7133,-7.76,-16.32,1.47,1.29,5.7,0.68,65.3,0.1268
Low,Construction,West,Loan,40325.52,0.7276,-19.28,-22.84,1.82,3.49,3.5,0.69,92.9,0.0902
Low,Energy,East,Lease,63028.91,0.6415,-27.11,9.52,1.32,2.32,4.3,0.7,55.1,0.1255
Medium,Construction,South,Loan,76530.58,0.5715,-17.21,14.42,1.9,2.41,4.3,0.78,96.2,0.0713
Low,Energy,West,Lease,54948.37,0.6473,11.25,27.01,1.42,1.77,4.6,0.62,51.3,0.1691
High,Construction,West,Lease,41161.72,0.658,-4.92,-8.22,1.64,3.64,7.7,0.68,99.7,0.0905
