CompanySize,Industry,Region,CreditScore,PriorDefault,RegionRiskScore,MacroEconomicIndex,PctChangeRevenue,PctChangeNetProfit,CurrentRatio,DebtToEquity,InterestCoverage,Default
Medium,Metals,West,Medium,No,53.30439363,94.99521213,0.267482269,0.028635876,2.880034606,0.475905909,54.748388,Non-Default
Small,Automotive,Central,Medium,No,33.89305545,95.17998168,-0.017681021,-0.312455827,2.146266281,3.696001694,45.8696359,Default
Small,Textiles,North,High,No,44.33068852,110.7110907,0.027788904,-0.245873836,2.519356647,1.89588776,11.58075788,Non-Default
Small,Metals,Central,Low,Yes,51.70266346,88.71489676,0.154604305,0.826746364,2.397167034,0.582544399,246.7904057,Default
Small,Metals,West,Medium,No,49.35863718,113.5269093,-0.255691161,-0.444912286,2.144160817,2.284889886,18.28938466,Default
Small,Automotive,North,Medium,No,49.77131912,112.8354178,0.162217624,0.273729853,0.905317489,1.974280434,26.21199438,Default
Medium,Machinery,North,Medium,No,36.09258502,86.07335682,0.17668542,0.098059592,2.257920339,1.108751355,84.90527788,Non-Default
Medium,Textiles,West,Medium,No,37.56687337,115.6377982,-0.112011127,0.105070698,1.558808363,3.77628063,187.3721441,Non-Default
Medium,Metals,West,High,No,56.23142173,67.40135035,0.007403018,-0.236742398,1.831851567,0.933357152,104.9612544,Non-Default
Small,Machinery,West,Medium,Yes,59.76261098,87.28224827,-0.34640332,0.212465445,2.673198897,1.113029418,108.0207171,Default
Small,Textiles,Central,Low,Yes,61.53654581,79.56103629,0.23577827,-0.424404368,2.931156567,2.545769829,133.2421843,Default
Medium,Chemicals,West,High,No,49.47591935,119.4110342,0.133591087,-0.093427884,2.327420306,3.019595124,654.776912,Non-Default
Small,Chemicals,Central,High,No,56.01309742,107.0673312,-0.2113165,0.034655716,1.31035708,0.866147453,126.9781433,Non-Default
Medium,Textiles,East,Medium,No,34.46738615,95.65790556,-0.162011761,0.445810374,1.498915012,0.449426018,94.70806005,Non-Default
Small,Automotive,North,Low,Yes,37.10729345,112.0563412,-0.036919346,0.193897587,1.103843294,0.68288479,12.84528518,Default
Small,Textiles,North,Medium,No,46.31016526,99.45754678,0.219858492,-0.077923517,2.077545614,0.844739149,87.43774243,Non-Default
Large,Textiles,South,Medium,No,48.91719492,134.7731104,0.150907179,-0.039728883,2.845816176,5.369603334,58.53166761,Non-Default
Small,Automotive,East,Low,Yes,45.41564733,117.7426179,-0.114446297,0.173342729,2.584057204,5.103751372,46.83469331,Default
Small,Automotive,West,Medium,Yes,46.81739668,122.7580126,-0.068654873,-0.273004204,1.996004609,2.294009375,23.54033094,Default
Medium,Machinery,West,Low,No,37.58976469,83.97342009,0.060519328,0.307485493,2.871078291,2.644206322,88.32714938,Non-Default
Small,Machinery,East,High,No,44.0378229,130.238875,-0.110133499,0.006294988,2.772849204,2.055783897,41.31598563,Non-Default
Medium,Automotive,West,Medium,No,36.36605646,90.33790811,-0.05408936,-0.188800821,1.594366333,3.301279612,5.008744106,Non-Default
Small,Chemicals,South,Medium,Yes,61.4304197,74.67077257,0.1883738,-0.318732283,2.009514964,1.043820127,94.2145661,Default
Small,Chemicals,Central,Medium,No,39.33799292,93.1042916,-0.19536436,-0.594264783,1.451116129,1.688342873,7.994998707,Non-Default
Small,Textiles,North,Low,Yes,56.75436247,114.7917056,0.021526573,0.46795206,0.819297897,2.360163033,44.72046537,Default
Small,Metals,East,Medium,No,49.38166611,97.40853541,0.006646982,-0.441659258,1.792614507,1.386961912,20.24103751,Non-Default
Large,Textiles,North,Low,Yes,55.19862624,102.8065022,0.041428869,0.14988109,2.45024293,3.230142275,29.08420091,Non-Default
Small,Textiles,Central,Low,No,50.50308866,85.53547151,0.102842225,0.138448917,2.195174003,6.120099432,135.8296238,Non-Default
Medium,Metals,East,Medium,No,45.13824442,101.9884381,0.172917851,-0.089180006,2.839001338,2.314333608,45.14564199,Non-Default
Medium,Automotive,Central,Medium,No,45.73204906,106.8761471,0.206843768,0.001660257,2.308703241,0.526257239,72.49349133,Non-Default
Small,Chemicals,West,Medium,Yes,59.60930401,99.15911995,-0.018788684,-0.070205623,1.110765885,1.995284533,116.8953843,Default
Medium,Textiles,West,Medium,No,42.40592003,98.38359954,0.019713765,0.0857174,1.387000073,2.543451261,9.030680921,Non-Default
Small,Metals,West,Medium,Yes,47.09888375,100.4234629,0.120191266,-0.067275197,1.075751033,0.886617416,58.80111906,Non-Default
Small,Machinery,Central,Low,Yes,66.81468854,100.0339044,0.086028152,-0.042304348,2.548418034,0.972622683,275.9022764,Default
Medium,Textiles,Central,Low,No,47.00377517,119.8636958,0.164141287,0.009308483,2.891530345,1.917411197,125.7865415,Non-Default
Large,Chemicals,Central,Medium,No,50.14399454,117.2090938,0.139938492,0.18625015,1.297783232,2.626710814,8.431236952,Non-Default
Large,Automotive,North,Low,No,32.73879032,120.7711531,-0.114774553,0.179840683,2.484151726,4.64518952,143.9312771,Non-Default
Medium,Textiles,Central,Medium,No,47.48133836,94.29803364,0.424889353,-0.00120396,1.761405522,3.123935685,66.68427199,Non-Default
Large,Textiles,West,Medium,No,48.85765616,81.19111631,0.05073534,-0.033245986,1.581472038,0.61389873,17.64831905,Non-Default
Small,Metals,South,Low,No,47.13828773,91.25980371,0.189940781,0.170795267,2.971146637,1.036058027,73.19567653,Non-Default
Small,Machinery,Central,High,No,54.49417913,92.2472894,0.172117519,-0.184939181,1.560934898,0.637356221,59.89373147,Non-Default
Small,Machinery,South,Medium,Yes,48.65649804,79.06917957,0.104385087,-0.261396001,2.254265374,3.067765068,63.75998568,Default
Medium,Automotive,West,Medium,Yes,42.60972315,104.0282621,0.102467273,-0.305399989,2.368155795,0.851403498,9.654874509,Non-Default
Medium,Chemicals,Central,High,No,45.22276408,107.7039161,0.2354666,0.089794294,2.500664066,0.597710801,27.04901263,Non-Default
Small,Automotive,North,Medium,No,54.38601749,81.82347259,0.008341844,0.303572356,2.69641613,0.556996986,99.52764252,Non-Default
Large,Textiles,North,Medium,No,36.9343702,80.49854022,0.205120532,0.047716222,2.045610673,0.584026636,70.01318924,Non-Default
Medium,Textiles,South,Medium,No,47.37807992,93.58268062,0.15048474,0.096034346,2.129673044,0.812484576,107.024128,Non-Default
Small,Machinery,North,Medium,No,50.96040363,119.0306823,0.285158112,-0.099861167,2.364502197,3.336756773,34.27054731,Non-Default
Small,Chemicals,North,Low,Yes,63.37624544,72.11209607,-0.049280802,0.095077821,1.127552331,0.79416191,54.56226106,Default
Small,Metals,North,Medium,Yes,65.43431534,112.9611858,0.06686164,0.064225143,1.24011093,0.88259657,37.20451278,Default
Large,Chemicals,West,Medium,No,54.88648377,103.2155426,-0.121050012,0.150718791,2.481482013,4.828057089,44.68823738,Non-Default
Small,Textiles,North,Medium,Yes,49.09926971,56.16302105,0.271954476,-0.567721427,1.09692375,1.300908247,19.46364113,Default
Large,Metals,East,Medium,No,62.07739641,92.20331601,-0.097851745,0.137129825,2.314628841,1.533548686,112.7228533,Non-Default
Medium,Chemicals,Central,Medium,No,59.74660131,89.74954787,0.116409942,0.18766386,0.871310963,0.431912666,267.5432386,Non-Default
Small,Chemicals,North,Low,Yes,53.88178109,108.9141611,-0.040738202,0.181747292,1.54260479,0.536722793,9.380146707,Default
Small,Metals,North,Medium,Yes,58.15656742,91.48223316,0.278236978,-0.000309049,2.256937675,2.911718262,41.10264945,Default
Large,Textiles,North,Low,No,46.17372958,93.17416388,0.038293781,0.468771531,2.354770761,1.000311508,29.28972551,Non-Default
Medium,Chemicals,East,Medium,No,35.98092083,86.80757821,0.180227981,0.264360277,2.186257107,0.638600103,42.81102646,Non-Default
Medium,Metals,North,High,No,58.33684075,111.2440235,-0.1667678,0.392905398,1.771387314,1.258782949,46.72558267,Non-Default
Medium,Textiles,North,High,No,47.43265894,76.54158544,-0.076240773,0.143350846,1.360277443,0.486013527,481.4046903,Non-Default
Small,Metals,Central,High,No,50.48114866,92.15827968,0.171408292,0.030292439,2.149254937,2.644656974,6.159263613,Default
Medium,Metals,East,Medium,No,51.40213295,90.61547381,0.30819052,0.177909734,1.206940089,0.53401389,377.8987271,Non-Default
Small,Chemicals,East,Medium,Yes,59.41713789,94.76070544,0.1552145,-0.126508501,0.932585564,0.499081367,47.01804201,Non-Default
Large,Textiles,North,High,No,43.36685159,80.64206217,0.526596963,0.23706837,0.843125748,1.231249294,43.68902867,Non-Default
Medium,Chemicals,East,Medium,No,35.44426565,96.2788358,0.208295988,-0.08350007,1.389011904,1.875584717,33.47370639,Non-Default
Small,Automotive,South,Medium,Yes,52.4718792,92.19223403,0.053204029,-0.117299668,0.865925867,3.138021151,276.8478592,Default
Small,Automotive,East,Low,Yes,61.91779706,87.32221587,-0.014199614,-0.299063632,1.348259079,0.521089997,9.953029392,Default
Medium,Textiles,East,High,No,36.10707903,98.6335495,0.413413679,0.281502287,1.436692179,1.003573773,37.38417194,Non-Default
Medium,Metals,East,High,No,51.75894443,106.3624536,0.211489542,0.533548287,1.55885326,0.855767887,60.26801543,Non-Default
Medium,Chemicals,West,Medium,Yes,52.83585973,90.38370898,-0.053085496,0.372018312,2.369656463,2.940964927,52.71732325,Non-Default
Medium,Chemicals,West,Medium,No,68.00726371,83.76503845,-0.081777423,0.255258475,1.770886474,1.090543927,384.6789954,Non-Default
Large,Textiles,West,Low,No,55.29947821,88.25152325,-0.082747756,0.26232333,2.967662083,2.093220216,31.41978848,Non-Default
Medium,Textiles,East,Medium,No,39.03085993,99.38941697,0.15225033,0.253729347,2.884185087,1.460793281,48.93494737,Non-Default
Small,Automotive,South,Medium,No,54.21748514,88.03015105,-0.253629768,-0.00161772,2.95938203,1.791697766,28.74393155,Non-Default
Medium,Machinery,East,Medium,No,51.31150746,93.4579543,-0.052188315,-0.065355169,1.706905109,1.080630641,20.13349018,Non-Default
Small,Textiles,North,Low,Yes,53.43757449,86.32141976,0.109505403,-0.213410864,0.897245699,0.797125269,49.67703974,Default
Medium,Machinery,South,Medium,No,33.24606097,89.84886257,0.055522405,0.49548671,2.692654846,0.505670428,95.88665176,Non-Default
Small,Textiles,West,Medium,Yes,38.24487411,95.35950126,-0.040998682,-0.020129047,1.756750005,0.678081934,36.84180327,Default
Medium,Metals,Central,High,No,39.57556625,102.1008433,0.188964941,0.065615845,2.210555422,0.67661536,28.66276323,Non-Default
Small,Metals,South,Medium,Yes,68.37059721,87.08733345,0.187941524,-0.250805065,2.655540204,6.189319371,56.18582839,Default
Medium,Automotive,West,Medium,No,50.48233856,87.16529908,0.00670704,-0.163499184,2.136074143,6.268944585,88.92919336,Non-Default
Small,Automotive,South,Low,Yes,40.72342083,104.3058259,-0.056285377,-0.216130783,2.421186358,0.829761781,16.5144547,Default
Small,Machinery,South,Low,No,52.5409,114.7770414,0.222915381,-0.059812872,1.347246259,0.570808295,40.06102106,Non-Default
Small,Textiles,East,Medium,Yes,52.16047392,73.51101467,0.018255671,0.189420301,1.229120703,0.883348829,40.08664793,Default
Medium,Chemicals,North,High,Yes,54.37154599,95.68083858,0.052809653,0.146578433,2.021592352,3.501836476,88.13065615,Non-Default
Medium,Automotive,Central,Medium,No,39.02537254,100.9850332,0.20656934,0.180457361,2.203480809,4.632523363,28.92613453,Non-Default
Medium,Chemicals,West,High,No,52.44706279,81.86129057,-0.170009835,0.026029527,2.717919556,1.504138215,147.5483144,Non-Default
Small,Chemicals,South,High,No,45.87363263,105.0868813,-0.053650303,0.21719949,2.607077015,1.66007979,42.19143902,Default
Small,Textiles,Central,High,No,42.70559876,73.85372378,-0.002183797,-0.006857706,2.975916533,1.354171783,55.10847783,Default
Small,Machinery,South,Low,Yes,62.66756957,102.1404944,0.43142962,0.144022745,2.925977461,0.694006046,136.653496,Default
Small,Textiles,North,Low,Yes,63.52363939,107.4366333,-0.20052128,-0.068172082,2.171721511,0.492234995,29.76748034,Default
Small,Automotive,Central,Low,Yes,52.69333097,106.3779329,0.057956023,0.306063758,1.907636532,2.05659128,18.78078739,Default
Small,Chemicals,West,High,No,44.69931317,90.8529568,-0.127316478,-0.193750752,2.473413958,3.529763745,10.44829895,Non-Default
Small,Textiles,South,Low,No,51.1087338,95.31680723,0.511843375,0.311637263,1.375019684,2.993743746,87.24018115,Non-Default
Small,Textiles,North,Medium,No,15.11713675,113.2709438,0.103363399,0.120481975,1.575227407,5.256932638,74.09030099,Non-Default
Large,Textiles,Central,High,No,65.0064035,88.95237568,-0.140625543,0.409288435,2.487677013,3.721184901,102.2337935,Non-Default
Large,Automotive,South,Low,No,65.84510536,100.3486645,-0.279195677,-0.135165444,2.889935567,0.895898754,19.78036275,Non-Default
Medium,Machinery,South,Medium,No,65.4356277,90.84161045,0.172401847,-0.027687197,2.769785873,0.587523889,209.9932922,Non-Default
Large,Textiles,West,Low,No,41.5170968,100.9649833,0.088623995,-0.034585342,0.960285838,1.264699425,25.22924401,Non-Default
Large,Automotive,North,High,No,49.80885989,80.20401535,0.177145507,-0.185819962,1.310216316,1.036596621,27.6639204,Non-Default
Small,Chemicals,East,Low,Yes,62.74643719,86.79392017,-0.151315687,0.523176679,1.40125537,2.804445827,89.48465549,Non-Default
Large,Metals,South,High,No,35.64792704,105.1061834,0.42365645,-0.148096117,1.643015715,0.516953709,55.52875948,Non-Default
Medium,Automotive,Central,Low,No,52.21856992,95.41389894,0.066379733,-0.20110247,0.955596689,6.451902299,240.7466545,Non-Default
Large,Metals,West,Low,No,45.35111855,124.4316473,0.134880291,0.393059701,1.307942635,6.955506393,135.94814,Non-Default
Small,Textiles,West,Low,Yes,28.56597922,114.1930724,0.174784639,0.221571266,2.37551435,0.545611433,92.71726752,Default
Medium,Textiles,South,Medium,No,55.34758128,125.1378304,0.07053568,-0.017610269,1.337792756,1.27468243,112.0589189,Non-Default
Small,Automotive,South,Low,Yes,51.99755284,99.22022861,0.311110796,-0.43312894,2.873591968,5.230044667,100.2427431,Default
Small,Metals,South,High,Yes,50.8983022,86.17237386,-0.055986763,0.458506137,1.730674619,0.701747583,94.40833888,Non-Default
Medium,Textiles,East,Medium,No,38.77115712,69.36490983,0.254464645,0.516492128,1.019308666,2.512818937,29.90928025,Non-Default
Large,Chemicals,South,High,No,61.58124968,96.30437617,0.31662838,0.18259775,2.653879191,2.659364314,70.53939491,Non-Default
Large,Machinery,North,Medium,No,53.94806441,91.45822571,0.257327832,0.160189443,2.814102074,0.786219074,10.19633819,Non-Default
Small,Machinery,Central,Medium,No,54.45365546,99.32229628,0.33686916,0.081109401,2.841848839,0.436162168,89.30665987,Non-Default
Medium,Textiles,South,Medium,No,59.52264851,85.4406411,-0.096070972,-0.077413307,1.886644216,2.318745871,82.58545279,Non-Default
Small,Metals,East,Low,Yes,55.86316996,73.27054184,0.149328519,0.332538926,2.825124115,2.033556537,34.12392508,Default
Small,Textiles,Central,Low,Yes,43.60123801,91.58330261,0.133483996,-0.06585708,2.360215846,2.223991018,17.86706324,Default
Small,Metals,West,Low,Yes,55.07274008,95.10485978,0.064979999,0.169472103,1.230354638,0.649800546,11.09009672,Default
Small,Chemicals,South,Low,Yes,50.86371961,69.46309242,0.175385387,0.084537649,1.973023323,1.96068699,438.6031539,Default
Large,Metals,Central,Medium,No,50.6862542,88.72320289,0.291403971,0.027051221,1.752255849,1.666700488,13.61372585,Non-Default
Medium,Textiles,West,High,No,56.02016067,82.08252362,-0.094472039,-0.183086698,1.79231749,1.333902742,72.11205757,Non-Default
Medium,Chemicals,East,High,No,39.87592918,118.5437909,-0.191420897,-0.268737035,1.709323963,3.276312199,33.33192824,Non-Default
Medium,Automotive,North,Low,No,24.6456436,99.58021186,0.008997103,0.153619197,1.185603221,1.141230753,157.4504154,Non-Default
Small,Machinery,South,Low,Yes,46.61067937,97.04671589,-0.446896163,-0.077929733,1.658072101,1.049013658,36.2571923,Default
Small,Textiles,North,Low,Yes,33.59857924,87.45012748,0.036124524,0.066126262,1.926402991,1.663848965,422.2003317,Default
Small,Textiles,East,Medium,Yes,46.14956119,107.5817555,0.335930846,0.080110008,1.428483473,6.491498888,102.7332018,Default
Small,Textiles,Central,Medium,Yes,33.14176311,82.87070184,-0.234692342,0.107396889,1.189071457,1.026565943,61.60287233,Default
Medium,Chemicals,Central,High,No,50.72787037,127.6701479,-0.033537175,1.88E-05,1.236117903,1.310525432,45.42790468,Non-Default
Medium,Automotive,East,Medium,No,48.89500156,125.3226042,-0.177342801,0.192091605,1.224534679,0.851144808,43.66239556,Non-Default
Small,Metals,East,Medium,No,49.2068274,125.7518395,0.129342342,0.009565613,1.782850757,2.421932542,1069.340667,Non-Default
Small,Automotive,South,Low,Yes,55.67641336,103.6113231,0.177366692,-0.030065026,1.259974923,1.076632356,36.59081856,Default
Small,Chemicals,West,Low,Yes,61.22783456,94.75668272,0.054285192,0.21468151,2.37811946,2.516397577,12.24545259,Default
Small,Textiles,North,Medium,Yes,44.08583092,94.22693846,-0.086968994,0.036674025,1.538381002,0.632456162,48.81823903,Default
Small,Machinery,North,Medium,No,52.1723092,89.35589198,0.088053706,0.08806622,2.866645457,0.845899207,28.15426221,Non-Default
Small,Textiles,Central,Medium,No,52.27920233,106.0385517,0.2974525,0.266449444,0.938004241,0.73546057,73.36880208,Non-Default
Large,Metals,Central,Low,No,35.30342557,88.60162867,0.227936663,0.135537622,1.481895919,3.281584374,258.0369966,Non-Default
Small,Machinery,South,Medium,Yes,58.94357611,107.7095637,-0.031373622,0.262972823,2.424370895,0.547366414,58.44774316,Default
Small,Textiles,East,Low,No,40.8354634,89.32498262,-0.014835152,-0.365250559,2.306523427,0.822049797,22.12454715,Non-Default
Medium,Machinery,North,Low,No,42.45292395,111.008615,-0.020343752,0.690781579,1.72539087,1.528024215,45.72799665,Non-Default
Large,Automotive,South,Medium,No,46.80189867,109.1393929,0.148085282,0.21013566,2.714434963,0.544866779,27.82113729,Non-Default
Small,Chemicals,Central,Medium,Yes,39.47535653,96.08580717,-0.226371659,0.179704035,0.957018488,0.442237947,119.9509741,Default
Medium,Textiles,Central,High,No,41.52059588,85.78323986,0.158537746,-0.004496475,1.920015683,2.50490366,60.03578186,Non-Default
Small,Metals,North,High,Yes,54.77410306,77.64024688,-0.058280925,-0.344988601,1.240910368,2.013386602,7.893925012,Default
Small,Automotive,Central,Medium,No,38.09266344,103.2366929,-0.002990094,0.209669141,1.622675531,0.438950243,460.7340711,Non-Default
Medium,Textiles,Central,Medium,No,59.19987134,86.45296214,-0.096135615,0.307266316,2.337936692,0.490582567,31.42964721,Non-Default
Medium,Automotive,West,Low,No,40.49075471,86.7679722,0.196255154,-0.39629586,1.017739127,0.759393954,48.82627213,Non-Default
Small,Metals,East,Low,Yes,57.84765983,96.40091084,-0.068544893,0.251467354,0.896297668,5.398253078,22.52537903,Default
Small,Textiles,Central,High,No,54.22663444,82.56876566,-0.141875174,0.416002294,1.725826565,2.242922482,56.03769,Default
Medium,Metals,West,Medium,No,39.44127755,102.2221351,-0.065828354,0.405931727,1.397127627,3.608298214,27.06320391,Non-Default
Small,Machinery,South,High,No,40.35003095,93.12537383,-0.166426556,0.162807237,2.385144007,3.093108242,8.132887179,Non-Default
Small,Metals,Central,Low,Yes,55.66797348,102.6041663,0.222338723,0.010505387,0.944211308,8.075647906,159.977865,Default
Small,Machinery,South,Low,Yes,60.42999302,122.046143,-0.170552618,0.266970534,2.926311963,6.69789004,18.02209479,Default
Small,Textiles,Central,High,No,50.32902623,98.18091993,0.041348807,0.1334661,2.165654809,0.516032985,308.7797165,Non-Default
Small,Machinery,North,Medium,No,61.3094425,93.31180034,-0.080127139,0.121154087,1.902784553,0.456904047,36.00908924,Non-Default
Small,Textiles,West,Medium,Yes,61.88407363,111.6002834,0.363708738,-0.101715993,1.707609252,1.48905551,44.74395383,Default
Medium,Textiles,West,Medium,No,41.232499,110.6315063,0.13459096,-0.37328606,2.447811527,0.862319584,190.4938953,Non-Default
Small,Chemicals,North,Medium,Yes,63.06863535,84.39738667,-0.075845722,0.244280782,1.583912329,1.517242392,23.43368948,Default
Small,Textiles,East,Medium,Yes,56.65576314,117.7537918,0.084308654,-0.051098929,2.509285407,0.548956263,278.8375674,Default
Small,Machinery,West,High,No,41.61824168,88.05124642,-0.131876938,-0.215034916,2.363523531,5.464856298,14.57365972,Non-Default
Small,Chemicals,South,Low,Yes,44.10454742,85.9610113,0.184295309,-0.248050676,2.012967713,3.24556124,223.1085638,Default
Small,Chemicals,West,Low,No,61.30893067,116.6839855,0.083541855,-0.01537423,2.755079484,1.712010852,8.109532425,Non-Default
Small,Textiles,East,Medium,Yes,65.03804222,116.3041554,0.13379603,-0.275739486,1.561168739,1.37553723,52.14737027,Default
Small,Metals,South,Medium,Yes,48.22562419,94.56965687,-0.140721505,0.299658423,0.927270366,1.387184338,119.3621234,Default
Large,Metals,South,Medium,No,73.56594802,106.6340686,-0.22676851,0.165390308,1.627642539,2.029208231,63.90182443,Non-Default
Small,Chemicals,North,Low,Yes,65.50060477,87.28764524,-0.282704389,0.309306484,2.725736813,1.682436735,30.96941102,Default
Small,Textiles,Central,Low,Yes,57.0146054,105.8145766,-0.267552959,-0.227709344,0.970094422,1.43512096,223.064854,Default
Small,Metals,North,Medium,Yes,55.9190034,77.25315669,0.052177154,-0.318872435,2.478936544,2.41943544,20.3618035,Default
Large,Textiles,Central,Medium,No,56.09940184,114.8584818,0.434363402,0.469253151,2.615569705,3.149180616,19.14901855,Non-Default
Large,Textiles,North,Low,No,34.68776368,95.70435313,-0.029850406,-0.170121955,1.741495953,2.182405106,132.7308094,Non-Default
Small,Chemicals,Central,Medium,Yes,44.19268473,82.86006359,-0.065750765,0.053868926,1.22794259,1.14976281,23.1403081,Default
Small,Chemicals,West,Low,Yes,49.72068382,99.40340215,0.039149093,-0.160894597,1.58213436,1.215302525,90.54684218,Default
Large,Automotive,South,High,No,46.47822191,78.42025604,-0.107241501,-0.175498255,1.676637642,0.560352226,7.345008344,Non-Default
Medium,Metals,Central,Medium,No,56.61188297,104.5498512,-0.206360703,0.178720564,2.850969523,1.215954739,14.09400042,Non-Default
Medium,Metals,West,Medium,No,51.89775276,101.4429598,-0.080911809,-0.002183761,1.42616944,3.375896071,247.031571,Non-Default
Small,Metals,East,High,No,56.00288658,104.9071651,0.004608516,0.358416504,2.939747763,0.514881385,74.34819094,Non-Default
Small,Machinery,North,High,No,48.22940658,92.89479997,0.421880713,-0.415918981,1.039404969,0.681552945,270.1370774,Default
Small,Textiles,East,Medium,Yes,63.44339931,77.88939234,-0.047701668,0.025557327,2.942864728,4.143238027,148.267091,Default
Small,Chemicals,West,Low,Yes,52.39575577,91.2478734,0.088956021,-0.097805965,1.291302409,1.783720173,47.76814242,Default
Small,Metals,East,Medium,Yes,48.00149911,76.04836774,-0.224388067,-0.031425395,1.169071402,2.363825005,202.4212795,Default
Medium,Automotive,East,Medium,No,56.99970577,114.7974225,0.188774448,-0.014019186,1.064220958,0.972135392,37.3763018,Non-Default
Small,Metals,West,Medium,Yes,57.77198642,84.81368924,-0.097859705,0.190792895,1.495769267,1.458690995,75.15112493,Default
Small,Textiles,South,High,No,51.11635479,74.24051565,-0.175876574,-0.016358891,2.156435546,3.114308602,30.72851158,Default
Small,Textiles,Central,Low,Yes,35.18857175,101.4092137,-0.155618488,-0.013782602,2.265926037,4.734800908,34.18674123,Default
Large,Chemicals,North,Medium,No,59.98963581,127.644057,-0.078384513,0.465482409,1.613901228,7.659801391,17.14156782,Non-Default
Medium,Machinery,Central,Medium,No,34.28860103,94.96531895,-0.181225798,-0.274997024,1.307667821,4.280258289,157.5765529,Non-Default
Medium,Chemicals,North,Medium,No,36.90371255,103.3718287,0.108256866,-0.241463618,2.989063454,0.516277029,57.59407635,Non-Default
Small,Metals,Central,Medium,No,51.31635406,81.86702301,-0.166869606,0.494317912,1.395291716,1.024349243,16.0626852,Non-Default
Small,Automotive,East,Medium,No,45.912627,99.72509614,0.179170998,0.457231962,1.632239143,2.989368586,16.23203055,Non-Default
Small,Chemicals,South,Medium,Yes,51.09507271,72.60113019,-0.051723972,-0.418350741,1.858154964,1.226040819,36.56398287,Default
Small,Machinery,East,Medium,Yes,64.96836208,74.05351749,-0.133392784,0.565759116,2.427093727,1.28218037,58.4681524,Default
Small,Chemicals,South,Medium,Yes,54.54576848,117.415105,-0.086652936,0.174734678,1.134608412,3.476039171,61.31222882,Non-Default
Small,Textiles,West,Medium,Yes,42.89330872,94.98173554,-0.153122206,-0.147133476,1.385495155,4.001283459,36.04792347,Default
Small,Metals,North,Low,Yes,58.98736465,106.5578041,0.054316906,0.031369815,2.993192496,3.441384692,62.82509666,Default
Small,Metals,North,Medium,No,36.47817919,129.0935231,-0.059043172,-0.077368917,2.615349911,1.052438832,8.525132974,Non-Default
Small,Metals,West,Medium,No,44.1192564,84.70245686,0.272275554,0.030163786,1.77652127,0.775593919,30.75580504,Non-Default
Medium,Metals,Central,High,No,49.94147444,107.8055106,-0.411060581,-0.073748775,1.039116103,1.062900365,77.80988473,Non-Default
Medium,Metals,West,Medium,No,44.50996479,82.51990295,0.283623377,-0.264357702,2.706759066,2.582048319,88.62601666,Non-Default
Medium,Metals,West,High,Yes,57.27501514,88.48317009,-0.084528255,-0.3004562,2.522609273,1.078262176,61.08971949,Non-Default
Small,Automotive,South,Medium,No,50.75351672,109.1629292,0.370082282,0.08379481,2.077512953,0.499766176,94.65293282,Non-Default
Small,Machinery,West,Low,Yes,53.32004249,92.97241494,0.074097598,-0.170137588,1.689805636,3.55485755,80.58948396,Default
