Industry,Region,CompanySize,CompanyAge,ContractTermMonths,CommittedAmount,CreditUsageRate,EAD,PctChangeRevenue,PctChangeNetProfit,DebtToEquity,CurrentRatio,DownPaymentPct,UsageHoursPerWeek,EquipmentType
Mining,South,Medium,3.5,24,75518.07,0.86,35849.25,4.99,-6.62,0.92,1.53,0.43,34.6,Bulldozer
Mining,North,Small,8.1,36,87389.34,0.51,32578.43,1.83,8.37,1.54,1.36,0.23,36.8,Loader
Mining,West,Large,13.8,48,129974.49,0.91,74946.17,-20.42,-3.91,1.33,1.21,0.36,43.6,Drill
Mining,South,Large,19.1,48,135954.47,0.87,69016.85,-19.47,-46.95,1.12,1.59,0.4,32,Bulldozer
Energy,West,Small,12.1,36,91213.28,0.57,33566.82,-19.5,23.93,2.16,1.9,0.33,43.4,Drill
Transportation,West,Medium,15.8,48,92461.57,0.67,39570.08,27.16,-45.61,0.19,1.25,0.34,26.2,Crane
Manufacturing,East,Small,8.8,24,78836.99,0.82,36824.5,22.39,-24.16,0.35,1.56,0.4,60.1,Bulldozer
Mining,West,Medium,13.1,24,102675.63,0.75,43254.96,-12.78,-11.32,0.2,3,0.41,50.7,Loader
Construction,North,Medium,14.1,60,106075.63,0.56,46191.77,-29.65,-48.84,1.92,1.74,0.2,37.3,Loader
Mining,East,Small,1,48,124194.27,0.54,48214.29,1.92,-27.52,1.51,1.98,0.26,43.3,Bulldozer
Construction,East,Medium,7.9,36,123953.16,0.89,62611.93,0.7,6.12,0.38,1.02,0.41,28.3,Loader
Construction,East,Small,14.7,60,30936.46,0.58,13828.7,4.75,-8.67,1.13,0.82,0.2,45.6,Bulldozer
Mining,South,Medium,11.4,24,95423.65,0.59,28738.54,11.12,-6.6,1.18,2.23,0.47,48.5,Excavator
Energy,South,Medium,4,60,141523,0.92,70622.12,6.78,-22.88,0.1,2.09,0.44,42.7,Loader
Construction,West,Small,1,12,86856.55,0.81,35918.21,-16.75,1.15,1.31,2.36,0.46,49,Bulldozer
Construction,East,Medium,8.2,48,134177.25,0.8,81469.12,4.41,-8.13,0.49,1.46,0.22,39.9,Bulldozer
Mining,East,Medium,9.6,36,90806.45,0.74,55579.77,12.81,-41.02,1.62,2.13,0.14,39,Loader
Construction,North,Small,5.6,24,105247.7,0.78,67757.77,-10.86,-5.02,0.51,0.5,0.14,33.4,Excavator
Construction,West,Small,10.7,60,65893.28,0.8,34506.39,4.5,-31.05,1.33,1.77,0.32,45.6,Loader
Mining,North,Medium,12.5,36,67022.54,0.98,49737.16,-8.29,22.44,1.98,2.02,0.22,31.6,Bulldozer
Mining,West,Large,13.4,48,121764.75,0.61,58693.19,29.94,-9.79,1.78,1.16,0.21,44.1,Excavator
Manufacturing,West,Small,1,36,126454.55,0.61,59951.68,-19.9,63.04,1.5,2.03,0.19,43,Drill
Energy,South,Small,3.4,48,100792.87,0.53,34930.03,17.34,24.17,1.15,1.41,0.32,53.4,Crane
Energy,South,Small,8.5,48,63174.27,0.83,34112.56,-25.06,-3.26,0.3,1.46,0.32,45.8,Loader
Construction,North,Medium,12.9,48,101314.14,0.77,55774.17,26.9,14.49,0.94,1.37,0.27,22.4,Bulldozer
Energy,West,Small,12.4,60,137717.05,0.56,61560.57,-17.12,-52.24,1.06,2.29,0.16,33.4,Excavator
Construction,East,Small,12.4,48,152285.99,0.68,52966.04,2.85,24.06,1.02,1.27,0.47,33.1,Excavator
Manufacturing,South,Medium,8.1,36,90498.76,0.59,37288.09,-24.44,-20.51,0.28,1.21,0.27,32.7,Drill
Mining,East,Medium,8.4,12,50203.96,0.67,27467.77,-20.25,2.24,1.46,1.07,0.15,49.7,Loader
Mining,North,Small,6.4,36,125210.91,0.98,102746.62,13.47,-18.19,0.49,1.32,0.11,18,Excavator
Mining,South,Medium,13.8,60,91721.11,0.84,63837.83,15.42,-15.53,2.13,1.6,0.16,54.2,Drill
Energy,South,Medium,5.4,48,128291.22,0.5,49174.27,3.59,-4.53,1.29,1.82,0.22,50,Bulldozer
Manufacturing,West,Small,14.3,12,108432.17,0.63,42196.77,11.12,1.92,1.79,1.12,0.35,41.9,Drill
Energy,North,Small,11,60,73496.68,0.51,18460.15,15.67,-0.67,1.78,1.69,0.49,43.5,Loader
Energy,West,Large,9.8,24,101747.33,0.86,67628.75,-10.26,-0.05,2.45,1.81,0.21,40.8,Drill
Manufacturing,South,Small,6.7,24,139250.15,0.73,56959.51,-20.98,-40.64,1.31,1.03,0.42,41.6,Excavator
Manufacturing,North,Medium,3.2,24,95525.38,1,49578.53,-0.21,58.3,0.97,1.53,0.46,51.3,Excavator
Manufacturing,South,Large,6.8,12,68955.85,0.87,43067.62,-8.66,5.8,0.98,1.46,0.26,37.8,Crane
Manufacturing,North,Small,8.3,36,52340.67,0.76,30696.83,5.83,10.94,2.1,1.54,0.2,46,Drill
Mining,South,Small,1,12,76835.06,0.9,46146.6,8.22,-8.5,0.41,1.24,0.3,31.3,Bulldozer
Transportation,East,Medium,9,12,87695.91,0.85,38708.88,-10.22,-21.85,0.67,1.43,0.46,45.3,Loader
Transportation,East,Large,14.6,12,124599.97,0.62,67503.67,10.56,3.78,1.34,1.52,0.1,37.3,Crane
Manufacturing,West,Large,12.8,24,66374.52,0.77,34789.86,9.81,7.23,1.11,2.43,0.29,44.3,Drill
Transportation,East,Medium,7.5,36,146612.56,0.78,66370.26,10.85,32.55,1.78,1.52,0.4,31.4,Bulldozer
Transportation,South,Small,10.2,12,59885.43,0.73,27158.81,-6.12,51.94,0.4,2.17,0.34,44.5,Crane
Manufacturing,South,Medium,7.2,36,169944.58,0.59,68067.46,11.7,36.93,1.16,2.21,0.3,39.5,Excavator
Transportation,East,Medium,10.7,48,151765.56,0.61,61555.76,7.8,-44.16,1.09,0.84,0.32,55.6,Loader
Energy,West,Medium,17.7,12,104234.99,0.64,41755.54,9.6,-11.51,0.56,1.35,0.35,42.6,Drill
Construction,East,Small,14.8,12,50569.19,0.51,15287.14,25.17,8.4,1.73,2.21,0.37,44.9,Bulldozer
Construction,North,Small,12.6,12,98337.28,0.96,67733.32,4.92,-10.01,1.14,1.59,0.24,35.6,Excavator
Manufacturing,North,Medium,7.5,48,88394.77,0.84,50245.41,-9.1,-1.1,1.12,1.44,0.31,43.1,Crane
Mining,North,Medium,13.7,48,61771.38,0.84,39683.62,-16.66,-53.63,0.71,1.88,0.21,44.7,Loader
Manufacturing,East,Small,1.6,24,108730.29,0.79,41270.29,16.92,22.86,0.98,2.03,0.49,36.5,Crane
Mining,East,Small,8.7,60,75290.71,0.84,50287.53,5.36,-46.89,0.59,1.49,0.17,35.7,Crane
Construction,East,Large,12.9,36,78552.82,0.99,64044.76,25.05,-39.31,1.72,1.36,0.16,31.9,Bulldozer
Manufacturing,North,Medium,13.7,60,93889.64,0.69,50594.14,-30.44,-25.37,1.82,0.5,0.21,39.2,Excavator
Energy,West,Small,13.3,12,82752.74,0.86,36058.27,13.66,-2.44,2.21,1.52,0.47,33.5,Drill
Transportation,South,Small,11.5,12,162344.7,0.68,66747.31,-3.92,-40.57,1.46,1.31,0.36,42.9,Bulldozer
Mining,East,Small,9,24,83928.56,0.93,53170.98,-5.3,-26.51,1,1,0.28,32.1,Loader
Transportation,West,Large,12.7,60,113226.43,0.93,55043.27,-11.47,28.72,0.92,1.4,0.47,38.8,Crane
Transportation,South,Medium,5.2,12,104365.67,0.95,51617.81,13.49,-2.81,1.49,1.29,0.46,30.5,Loader
Manufacturing,South,Medium,5.8,60,110582.51,0.5,40373.01,9.2,10.84,1.32,1.58,0.26,51.4,Bulldozer
Transportation,South,Medium,10.3,24,112872.65,0.65,47481.32,-17.14,-30.91,1.1,1.36,0.33,40.2,Bulldozer
Energy,West,Small,10.9,60,126440.84,0.57,37204.36,2.47,-1.35,1.04,1.72,0.46,40.2,Drill
Transportation,West,Large,1,36,107993.38,0.73,59722.23,10.59,-3.4,1.9,1.59,0.23,46,Crane
Manufacturing,North,Medium,12.3,24,106746.87,0.75,56595.72,2.67,-19.88,0.94,2.14,0.26,57.8,Bulldozer
Energy,West,Small,13.9,60,101754.31,0.63,36328.8,16.62,-1.28,2.01,1.23,0.42,40.8,Loader
Construction,West,Small,9.6,12,95847.46,0.86,48025.84,-4.35,-47.3,1.31,2.39,0.38,25.1,Drill
Transportation,West,Medium,21.9,48,72646.06,0.63,39352.69,-33.82,10.97,0.98,2.03,0.12,51.8,Loader
Manufacturing,South,Large,6.6,48,98173.95,0.93,75401.59,2.8,-9.99,0.73,2.24,0.15,26.4,Crane
Construction,East,Small,8.2,24,107238.02,0.59,33760.33,2.71,-6.43,1.11,1.63,0.44,35,Drill
Construction,North,Large,8,48,112064.94,0.68,67460.85,4.67,21.29,1.5,1.36,0.11,51.9,Drill
Mining,East,Medium,9.6,36,105408.54,0.81,44193.16,16.6,10.8,0.97,1.23,0.47,36.6,Drill
Energy,East,Small,8.4,24,93011.35,0.8,55960.75,-29.29,-7.96,1.71,2.38,0.21,34.3,Excavator
Transportation,West,Small,3,12,98287.6,0.54,33024.77,-3.58,-27.91,0.94,2.05,0.34,42.8,Drill
Manufacturing,North,Small,7.3,12,83390.61,0.92,49617.93,-13.84,33.22,1.13,1,0.33,40.1,Loader
Mining,East,Medium,9.5,24,109396.72,0.8,61601.54,-18.12,-33.5,0.43,1.99,0.26,33.1,Loader
Energy,East,Small,16.1,48,93366.15,0.93,75265.96,-1.08,15.73,1.54,1.09,0.11,48.8,Crane
Mining,North,Small,21,48,105416.83,0.93,77880.87,10.53,-39.93,1.04,1.66,0.18,52.3,Bulldozer
Energy,West,Medium,16.7,12,130024.09,0.77,63781.13,4.51,22.95,2.15,1.91,0.35,53.9,Bulldozer
Energy,East,Medium,6.1,36,78719.23,0.96,52617.39,-10.31,25.27,1.62,2.23,0.28,45.5,Excavator
Transportation,South,Small,6.5,48,117900.86,0.92,76506.04,-2.18,-47.82,1.25,1.62,0.27,33,Drill
Energy,East,Medium,9.2,36,100996.31,0.98,82867.77,13.95,11.23,1.94,1.43,0.14,27.4,Excavator
Mining,South,Medium,18.9,48,160635.81,0.93,109809,10.25,9.16,1.44,1.52,0.24,16.8,Crane
Energy,West,Medium,9.2,24,93510.99,0.91,56873.16,-8.29,17.58,1.8,2.03,0.31,50.3,Crane
Transportation,East,Large,3.4,60,120854.94,0.73,75758.14,-9.26,9.13,0.68,1.89,0.13,41.9,Bulldozer
Transportation,North,Small,7.5,12,100460.6,0.61,50344.49,-25.75,-24.06,1.48,1.49,0.13,35.8,Crane
Mining,North,Large,13.8,24,58350.86,0.96,38316.4,-6.44,-5.43,1.5,0.57,0.3,20.7,Drill
Construction,East,Medium,13.4,48,84379.33,0.86,47760.98,-26.04,41.62,0.27,0.5,0.32,28.2,Loader
Construction,West,Medium,9,12,126414.13,0.64,62097.77,31.01,-27.7,2.1,1.61,0.2,22.3,Crane
Energy,West,Medium,13.4,60,87019.17,0.67,44014.51,-12.83,8.07,0.5,0.91,0.23,54.4,Excavator
Manufacturing,North,Medium,1,60,33392.31,0.84,16042.41,16.63,28.78,0.42,1.24,0.42,46.4,Drill
Energy,East,Small,10.5,48,99057.91,0.74,38580.1,27.27,-24.77,0.1,1.39,0.45,26.9,Crane
Mining,West,Medium,14.3,12,67229.91,0.54,26781.63,3.24,-35.42,1.48,2.54,0.23,56.4,Crane
Mining,North,Medium,5.8,48,103954.53,0.57,43235.46,-1.5,-31.65,0.21,1.56,0.24,32.8,Drill
Mining,South,Medium,5.8,60,146534.41,0.87,70655.46,-19.84,9.87,0.89,1.86,0.43,43.5,Crane
Mining,East,Small,1,24,123083.72,0.66,39795.04,-7.57,-31.87,1.7,1.75,0.49,43.5,Loader
Mining,South,Large,17.9,24,146099.67,0.75,83670.23,24.06,-3.38,1.32,0.5,0.23,39.1,Bulldozer
Transportation,South,Medium,6.4,36,83154.64,0.88,41708.73,5.27,34.28,0.83,1.3,0.42,37,Drill
Construction,West,Small,11.2,60,95705.01,0.88,57294.53,0.43,-1.28,0.25,0.89,0.29,40.3,Excavator
Mining,West,Medium,13,60,68666.91,0.58,30891.15,19.68,-19.45,1.14,2.36,0.21,37.2,Crane
Manufacturing,West,Medium,17.6,48,79478.7,0.55,26951.47,10.44,3.14,1.71,0.59,0.37,42.5,Bulldozer
Manufacturing,East,Medium,9.2,36,72193.46,0.8,39975.04,-2.22,-1.72,1.62,1.29,0.29,42.9,Excavator
Manufacturing,South,Medium,7.3,36,60798.31,0.87,40990.55,3.24,11.32,2.27,1.37,0.21,34.8,Excavator
Manufacturing,East,Large,10.9,12,140975.7,0.57,67877.73,-11.52,40.48,0.81,1.01,0.14,51,Loader
Transportation,West,Small,16.4,48,37241.19,0.69,13513.53,-8.42,9.92,0.41,1.55,0.45,31.6,Bulldozer
Manufacturing,South,Medium,9.1,24,141104.17,0.94,70368.38,-3.09,50.84,1.39,1.48,0.45,43.9,Drill
Mining,East,Large,5.2,12,137381.77,0.97,113000.72,8.36,11.38,1.33,1.58,0.13,36.6,Bulldozer
Energy,East,Large,2.3,36,114993.78,0.73,51549.15,-18.71,-19.18,1.2,1.75,0.37,31.3,Bulldozer
Manufacturing,North,Medium,3.9,24,66564.78,0.54,29005.47,1.14,57.21,0.75,1.62,0.17,37.2,Excavator
Transportation,East,Large,14.3,60,52534.75,0.63,20699.9,-5.85,-3.12,0.1,1.69,0.36,33.4,Loader
Transportation,West,Small,8.4,48,83547.89,0.62,26371.05,-13.51,-26.37,0.6,2.06,0.46,46.6,Loader
Manufacturing,East,Large,7,36,118753.61,0.62,58066.04,-5.77,58.09,1.53,0.68,0.2,39.1,Bulldozer
Energy,South,Small,6.4,60,100091.91,0.75,54833.71,-34.82,-18.33,1.37,1.85,0.24,53.7,Bulldozer
Manufacturing,East,Small,10.4,36,68695.02,0.79,30403.02,-11.36,-19.31,1.78,0.98,0.42,30.5,Crane
Transportation,North,Small,8.8,24,134446.14,0.56,43433.69,-16.49,-13.79,1.41,1.18,0.39,18,Excavator
Construction,South,Medium,8.6,12,150531.5,0.94,101012.37,-4.2,4.12,1.64,1.56,0.26,43.9,Drill
Mining,South,Small,16.7,24,93202.03,0.81,40618.18,-34.2,23.27,1.66,1.71,0.44,57.2,Drill
Transportation,North,Small,17.7,48,103280.11,0.8,41948.7,2.86,-66.22,1.21,1.76,0.47,44.9,Loader
Manufacturing,West,Small,1.9,48,54734.54,0.99,37840.63,13.64,23.16,1.22,1.03,0.28,30.6,Excavator
Mining,South,Small,11.6,36,87568.4,0.81,59443.15,-1.76,-13.86,0.1,2.32,0.12,29.8,Loader
Manufacturing,West,Medium,6.1,24,115313.2,0.96,75032.46,7.48,-10.32,0.81,1.29,0.3,60.3,Drill
Manufacturing,South,Medium,8.8,12,110645.7,0.64,41439.99,-7.69,42.88,0.83,1.14,0.4,36.2,Bulldozer
Construction,South,Small,11.5,48,84769.96,0.62,41088.84,-23.32,5.33,1.13,0.86,0.19,29.9,Excavator
Mining,West,Medium,8.9,12,91772.69,0.76,57856.78,0.03,11.19,0.64,0.81,0.14,51.9,Excavator
Mining,South,Large,11.2,60,86583.68,0.75,51111.41,10.21,-1.21,1.76,0.8,0.21,38.5,Crane
Construction,West,Medium,13.4,36,91646.06,0.61,48299.36,-19.87,19.09,0.67,1.66,0.1,19.7,Bulldozer
Transportation,North,Small,11.5,12,112697.04,0.85,56535.62,-6.98,40.45,1.86,1.8,0.39,60.8,Bulldozer
Manufacturing,West,Medium,6.8,36,40973.89,0.51,17104.63,-3.71,-61.88,0.62,1.07,0.16,45.8,Loader
Energy,North,Small,6.9,60,97769.51,0.85,49048.04,42.77,27.12,0.84,0.93,0.39,24.9,Excavator
Manufacturing,South,Small,2.8,12,110499.27,0.73,62123.31,3.35,38.68,0.79,1.39,0.19,54,Loader
Manufacturing,West,Small,5.7,12,82885.46,0.84,33278.86,-28.58,12.53,0.9,1.55,0.5,29.5,Bulldozer
Transportation,South,Large,19.8,60,85620.01,0.74,42715.16,-32.29,-16.93,1.91,1.63,0.31,28.9,Crane
Manufacturing,West,Small,6,24,86488.17,0.99,72009.54,10.96,-28.81,1,1.02,0.12,31.1,Excavator
Construction,North,Small,4,12,85628.5,0.67,32591.01,37.28,59.05,1.02,1.42,0.41,59.4,Bulldozer
Construction,North,Small,11.6,12,100176.51,0.99,69118,-4.21,-22.62,0.75,2.28,0.26,60.5,Crane
Mining,West,Large,9.4,48,103870.08,0.53,35911.99,-5.11,37.94,1.04,0.9,0.34,34.5,Drill
Energy,North,Medium,9,24,36984.57,0.84,15722.39,6.46,9.76,1.33,1.49,0.48,57.1,Bulldozer
Manufacturing,South,Small,17,12,119586.41,0.73,57069.44,-11.97,51.15,1.07,1.75,0.31,17.1,Drill
Manufacturing,South,Medium,12.7,60,91300.03,0.91,47019.73,-38.16,-7.96,1.11,1.02,0.42,49.1,Loader
Transportation,East,Medium,7.4,36,157988.9,0.89,107001.76,15.56,-40.19,1.81,1.81,0.22,53.6,Drill
Construction,North,Medium,7.9,60,64250.54,0.9,35005.07,-9.2,0.05,1.36,0.83,0.39,55.1,Bulldozer
Energy,South,Small,7.5,24,73980.56,0.55,32989.83,15.75,-37.16,0.51,1.82,0.14,40.8,Drill
Mining,West,Large,14.4,48,93912.73,0.91,45958.75,-11.41,66.93,1.15,1.52,0.46,45.7,Excavator
Construction,North,Small,8.5,48,112396.76,0.61,54048.3,1.83,15.74,0.88,0.79,0.18,32.8,Bulldozer
Mining,South,Medium,1,48,41476.98,0.51,16178.43,12.82,19.45,1.51,1.84,0.22,40.3,Crane
Transportation,North,Small,9.8,60,75127,0.61,23014.21,16.06,19.47,1.26,1.05,0.48,38.4,Drill
Transportation,West,Small,2.3,36,117739.6,0.74,70185.54,3.49,-17.34,1.88,1.42,0.16,37.8,Excavator
Manufacturing,South,Small,20.9,36,71556.28,0.87,47625.04,2.75,-3.3,0.76,1.82,0.2,51.3,Loader
Energy,East,Medium,5.2,12,141100.79,0.61,55441.96,9.3,2.76,1.08,1.02,0.33,42.1,Loader
Mining,East,Small,9.2,36,86383.49,0.56,23600.18,6.96,48.6,0.56,1.24,0.49,56.9,Drill
Construction,North,Medium,11.3,36,73018.8,0.82,36006.21,-19.37,-28.93,1.17,2.06,0.38,42.5,Loader
Transportation,West,Small,8.6,12,118307.33,0.99,95655.52,-19.08,-18.21,0.28,0.5,0.15,61.9,Crane
Manufacturing,South,Medium,8.5,60,148228.52,0.8,69326.56,-31.64,-9.07,1.39,2.21,0.4,52.3,Bulldozer
Manufacturing,West,Large,12.1,60,112491.89,0.85,68772.31,11.5,-16.84,1.17,0.77,0.27,39.1,Excavator
Mining,South,Medium,17.6,24,137812.88,0.78,52184.54,-5.94,-36.47,1.29,1.15,0.5,41.7,Drill
Transportation,North,Medium,13.8,60,150299.06,0.89,84384.87,12.3,-67.62,1.67,1.64,0.35,31.6,Loader
Energy,South,Medium,17.4,48,72344.24,0.99,47564.61,6.06,-45.67,1.33,1.8,0.31,41.6,Bulldozer
Transportation,West,Small,4.8,48,128151.74,0.77,64071.62,-15.04,27.48,0.43,1.65,0.32,30.2,Crane
Mining,West,Large,11.6,24,54295.88,0.71,24156.32,-1.8,-0.21,0.87,1.52,0.36,53.3,Loader
Mining,North,Small,10.8,36,112747.08,0.93,61197.37,-6.82,20.89,1.15,1.28,0.39,36.6,Loader
Transportation,West,Medium,11.8,24,97860.46,0.98,80149.78,-9.14,-14.56,1,2.28,0.13,43.6,Excavator
Mining,South,Medium,16.9,12,137288.51,0.56,62641.04,13.73,-2.46,1.08,1.89,0.15,17.2,Crane
Transportation,North,Small,8.9,24,135167.55,0.79,80199.97,37.66,40.33,2.17,2.09,0.22,37.3,Crane
Construction,South,Small,8,24,117093.5,0.9,71528.37,16.74,38.82,1.26,1.29,0.29,36.3,Drill
Transportation,West,Medium,12.7,48,108952.84,0.77,63868.19,-0.4,23.55,1.43,0.5,0.22,49.2,Excavator
Transportation,North,Large,1.1,12,115251.06,0.7,63817.81,18.89,5.06,0.1,2.01,0.19,45.2,Drill
Mining,South,Large,8.8,12,101853.13,0.83,43742.06,25.69,12.95,1.65,1.68,0.47,50.2,Excavator
Mining,West,Medium,9.3,24,98164.13,0.64,53900.25,-20.89,9.27,2.91,1.59,0.11,44.4,Crane
Manufacturing,West,Medium,5.4,12,143277.35,0.67,49297.45,18.37,-4.17,2.01,1.22,0.48,52.3,Excavator
Manufacturing,East,Large,15.3,12,146886.69,1,76385.57,11.55,-10.11,0.94,1.33,0.46,44.2,Excavator
Construction,West,Small,4.7,60,95750.22,0.82,48030.23,17.82,28.06,2.57,1.2,0.37,26.2,Excavator
Manufacturing,South,Small,9.3,12,107129.09,0.94,84437.87,12.2,-32.39,1.22,1.52,0.11,39.1,Bulldozer
Transportation,North,Medium,11.5,36,102449.66,0.9,73297.75,-3.42,37.18,1.38,0.93,0.19,39.6,Bulldozer
Mining,East,Large,16.8,12,51649.05,0.83,20879.07,30.49,-6.89,1.04,1.88,0.49,10,Crane
Manufacturing,West,Large,9.9,48,89906.93,0.92,43153.62,5.09,-32.85,1.02,2.52,0.46,29.8,Excavator
Manufacturing,West,Medium,14.7,60,147991.13,0.64,47780.8,-6.51,-13.64,0.1,1.2,0.49,60.4,Crane
Construction,West,Small,13.5,48,77506.72,0.82,30841.19,7.59,-21.86,1.67,0.7,0.5,37.3,Bulldozer
Construction,South,Medium,10.6,48,163436.3,0.8,110504.66,14.59,-14.39,1.02,1.45,0.13,38.9,Excavator
Transportation,East,Small,4.6,36,135163.79,0.81,70012.54,1.42,-14.85,1.09,1.66,0.33,18.2,Drill
Mining,South,Small,2.8,60,112044.94,0.58,35680.94,5.9,-15.84,1.36,1.73,0.43,26.5,Bulldozer
Construction,East,Medium,10.5,24,116825.3,0.64,55240.09,1.33,-7.7,0.95,2.3,0.23,44.8,Bulldozer
